SKU,Location,On hand (new)
U2EB7201-14-XS,Main,0
U2EB7201-14-S,Main,0
U2EB7201-14-M,Main,0
U2EB7201-14-L,Main,0
U2EB7201-14-XL,Main,13
U2EB7201-14-XXL,Main,0
U2EB7201-14-3XL,Main,0
32EB8C14-09-XS,Main,20
32EB8C14-09-S,Main,20
32EB8C14-09-M,Main,20
32EB8C14-09-L,Main,20
32EB8C14-09-XL,Main,20
32EB8C14-09-XXL,Main,20
32EB8C14-09-3XL,Main,20
32EA8C05-05-XS,Main,20
32EA8C05-05-S,Main,20
32EA8C05-05-M,Main,20
32EA8C05-05-L,Main,12
32EA8C05-05-XL,Main,20
32EA8C05-05-XXL,Main,20
32EA8C05-05-3XL,Main,0
32EA8C05-14-XS,Main,20
32EA8C05-14-S,Main,20
32EA8C05-14-M,Main,10
32EA8C05-14-L,Main,20
32EA8C05-14-XL,Main,0
32EA8C05-14-XXL,Main,13
32EA8C05-14-3XL,Main,0
32EA8C06-05-XS,Main,0
32EA8C06-05-S,Main,0
32EA8C06-05-M,Main,0
32EA8C06-05-L,Main,0
32EA8C06-05-XL,Main,0
32EA8C06-05-XXL,Main,0
32EA8C06-05-3XL,Main,0
32EA8C06-14-XS,Main,20
32EA8C06-14-S,Main,20
32EA8C06-14-M,Main,20
32EA8C06-14-L,Main,20
32EA8C06-14-XL,Main,20
32EA8C06-14-XXL,Main,20
32EA8C06-14-3XL,Main,0
32EEA710-14-XS,Main,20
32EEA710-14-S,Main,20
32EEA710-14-M,Main,20
32EEA710-14-L,Main,20
32EEA710-14-XL,Main,19
32EEA710-14-XXL,Main,4
32ECA703-14-XS,Main,20
32ECA703-14-S,Main,20
32ECA703-14-M,Main,20
32ECA703-14-L,Main,20
32ECA703-14-XL,Main,20
32ECA703-14-XXL,Main,20
32ECA705-09-XS,Main,20
32ECA705-09-S,Main,20
32ECA705-09-M,Main,20
32ECA705-09-L,Main,20
32ECA705-09-XL,Main,20
32ECA705-09-XXL,Main,20
32ECA705-09-3XL,Main,0
32ED8C01-09-XS,Main,2
32ED8C01-09-S,Main,7
32ED8C01-09-M,Main,17
32ED8C01-09-L,Main,1
32ED8C01-09-XL,Main,8
32ED8C01-09-XXL,Main,0
32ED8C01-09-3XL,Main,0
32EDA701-09-XS,Main,20
32EDA701-09-S,Main,20
32EDA701-09-M,Main,20
32EDA701-09-L,Main,20
32EDA701-09-XL,Main,20
32EDA701-09-XXL,Main,20
32EDA701-09-3XL,Main,0
32EA8B05-09-Y6,Main,0
32EA8B05-09-Y8,Main,0
32EA8B05-09-Y10,Main,0
32EA8B05-09-Y12,Main,0
32EA8B05-09-YXS,Main,0
33EY0W12-09-NS,Main,20
33EY0W13-09-NS,Main,6
33EY0W14-09-NS,Main,20
33EY7W93-09-NS,Main,20
33EY8W08-09-NS,Main,20
33EY8W09-09-NS,Main,20
33GD8016-14-NS,Main,13
33EY0W03-09-NS,Main,20
32EA8C12-09-NS,Main,0
32EA8C12-28-NS,Main,0
P2EA9540-09-NS,Main,20
32FW9A01-01-NS,Main,0
32FW9A01-14-NS,Main,20
32FW9A02-01-NS,Main,20
32FW9A02-14-NS,Main,20
32FW9A03-01-NS,Main,20
32FW9A03-14-NS,Main,12
32FW9A04-09-NS,Main,20
32FY9W02-09-NS,Main,20
R2EX9A01-09-S,Main,20
R2EX9A01-09-M,Main,3
R2EX9A01-09-L,Main,0
R2EX9A01-09-XL,Main,5
R2EX9A01-62-S,Main,15
R2EX9A01-62-M,Main,20
R2EX9A01-62-L,Main,20
R2EX9A01-62-XL,Main,20
R2EX9A01-01-S,Main,10
R2EX9A01-01-M,Main,15
R2EX9A01-01-L,Main,17
R2EX9A01-01-XL,Main,16
32EX0X01-01-S,Main,0
32EX0X01-01-M,Main,20
32EX0X01-01-L,Main,20
32EX0X01-01-XL,Main,20
32EX0X01-01-XXL,Main,10
32EX0X01-15-S,Main,0
32EX0X01-15-M,Main,20
32EX0X01-15-L,Main,20
32EX0X01-15-XL,Main,20
32EX0X01-15-XXL,Main,9
