itemid,ManCode,productname,UKSize,Barcode,Available Physical
32FY9W02-09-NS,32FY9W02,Mizuno - Mizuno Promo Snood (pack Of 6) - Black,NS,,20
R2EX9A01-09-S,R2EX9A01,Mizuno - Authentic Sp Sock Pk (u) (pack Of 6) - Black,S,,20
R2EX9A01-09-M,R2EX9A01,Mizuno - Authentic Sp Sock Pk (u) (pack Of 6) - Black,M,,3
R2EX9A01-09-L,R2EX9A01,Mizuno - Authentic Sp Sock Pk (u) (pack Of 6) - Black,L,,0
R2EX9A01-09-XL,R2EX9A01,Mizuno - Authentic Sp Sock Pk (u) (pack Of 6) - Black,XL,,5
R2EX9A01-62-S,R2EX9A01,Mizuno - Authentic Sp Sock Pk (u) (pack Of 6) - Red,S,,15
R2EX9A01-62-M,R2EX9A01,Mizuno - Authentic Sp Sock Pk (u) (pack Of 6) - Red,M,,20
R2EX9A01-62-L,R2EX9A01,Mizuno - Authentic Sp Sock Pk (u) (pack Of 6) - Red,L,,20
R2EX9A01-62-XL,R2EX9A01,Mizuno - Authentic Sp Sock Pk (u) (pack Of 6) - Red,XL,,20
32EX0X01-01-S,32EX0X01,Mizuno - Handball Socks 6pair(u) - 01,S,,0
32EX0X01-01-M,32EX0X01,Mizuno - Handball Socks 6pair(u) - 01,M,,20
32EX0X01-01-L,32EX0X01,Mizuno - Handball Socks 6pair(u) - 01,L,,20
32EX0X01-01-XL,32EX0X01,Mizuno - Handball Socks 6pair(u) - 01,XL,,20
32EX0X01-01-XXL,32EX0X01,Mizuno - Handball Socks 6pair(u) - 01,XXL,,10
32EX0X01-15-S,32EX0X01,Mizuno - Handball Socks 6pair(u) - 15,S,,0
32EX0X01-15-M,32EX0X01,Mizuno - Handball Socks 6pair(u) - 15,M,,20
32EX0X01-15-L,32EX0X01,Mizuno - Handball Socks 6pair(u) - 15,L,,20
32EX0X01-15-XL,32EX0X01,Mizuno - Handball Socks 6pair(u) - 15,XL,,20
32EX0X01-15-XXL,32EX0X01,Mizuno - Handball Socks 6pair(u) - 15,XXL,,9
