itemid,ManCode,productname,UKSize,Barcode,Available Physical
32EB4A01-09-XS,32EB4A01,Mizuno - Takeshi Gym Shorts(m) - Black,XS,,20
32EB4B01-09-Y8,32EB4B01,Mizuno - Takeshi Gym Shorts(m) - Black,Y8,,1
32EB4B01-09-Y10,32EB4B01,Mizuno - Takeshi Gym Shorts(m) - Black,Y10,,15
32EB4B01-09-Y12,32EB4B01,Mizuno - Takeshi Gym Shorts(m) - Black,Y12,,2
32EB4B01-09-YXS,32EB4B01,Mizuno - Takeshi Gym Shorts(m) - Black,YXS,,20
32EB4B01-09-Y6,32EB4B01,Mizuno - Takeshi Gym Shorts(m) - Black,Y6,,17
32EB8A11-01-S,32EB8A11,Mizuno - Authentic R Short M(m) - White,S,,20
32EB8A11-01-M,32EB8A11,Mizuno - Authentic R Short M(m) - White,M,,20
32EB8A11-01-L,32EB8A11,Mizuno - Authentic R Short M(m) - White,L,,20
32EB8A11-01-XL,32EB8A11,Mizuno - Authentic R Short M(m) - White,XL,,20
32EB8A11-01-XXL,32EB8A11,Mizuno - Authentic R Short M(m) - White,XXL,,20
32EB8A11-01-3XL,32EB8A11,Mizuno - Authentic R Short M(m) - White,3XL,,20
32EB8A11-01-4XL,32EB8A11,Mizuno - Authentic R Short M(m) - White,4XL,,20
32EB8A11-14-S,32EB8A11,Mizuno - Authentic R Short M(m) - Navy,S,,20
32EB8A11-14-M,32EB8A11,Mizuno - Authentic R Short M(m) - Navy,M,,20
32EB8A11-14-L,32EB8A11,Mizuno - Authentic R Short M(m) - Navy,L,,20
32EB8A11-14-XL,32EB8A11,Mizuno - Authentic R Short M(m) - Navy,XL,,20
32EB8A11-14-XXL,32EB8A11,Mizuno - Authentic R Short M(m) - Navy,XXL,,20
32EB8A11-14-3XL,32EB8A11,Mizuno - Authentic R Short M(m) - Navy,3XL,,16
32EB8A11-14-4XL,32EB8A11,Mizuno - Authentic R Short M(m) - Navy,4XL,,20
32EB9635-09-S,32EB9635,Mizuno - Core Bermuda M(m) - Black,S,,20
32EB9635-09-M,32EB9635,Mizuno - Core Bermuda M(m) - Black,M,,20
32EB9635-09-L,32EB9635,Mizuno - Core Bermuda M(m) - Black,L,,10
