Handle,Option1 Value,Option2 Value,Option3 Value,SKU,HS Code,COO,Location,Incoming,Unavailable,Committed,Available,On hand
mizuno-back-pack-u-09,NS,,,33EY7W93-09-NS,,,Antrim,,,,20,20
mizuno-holdall-large-u-09,NS,,,33EY8W08-09-NS,,,Antrim,,,,20,20
mizuno-holdall-medium-u-09,NS,,,33EY8W09-09-NS,,,Antrim,,,,20,20
mizuno-trolley-bag-u-navy,NS,,,33GD8016-14-NS,,,Antrim,,,,13,13
mizuno-ryoko-backpack-u-09,NS,,,33EY0W03-09-NS,,,Antrim,,,,20,20
mizuno-zunari-team-cap-pack-of-6-white,NS,,,32FW9A01-01-NS,,,Antrim,,,,0,0
mizuno-zunari-team-cap-pack-of-6-navy,NS,,,32FW9A01-14-NS,,,Antrim,,,,20,20
mizuno-tatami-drylite-cap-pack-of-6-white,NS,,,32FW9A02-01-NS,,,Antrim,,,,20,20
mizuno-tatami-drylite-cap-pack-of-6-navy,NS,,,32FW9A02-14-NS,,,Antrim,,,,20,20
mizuno-tatami-drylite-visor-pack-of-6-white,NS,,,32FW9A03-01-NS,,,Antrim,,,,20,20
mizuno-tatami-drylite-visor-pack-of-6-navy,NS,,,32FW9A03-14-NS,,,Antrim,,,,12,12
mizuno-jingasa-bobble-hat-pack-of-6-black,NS,,,32FW9A04-09-NS,,,Antrim,,,,20,20
mizuno-mizuno-promo-snood-pack-of-6-black,NS,,,32FY9W02-09-NS,,,Antrim,,,,20,20
mizuno-authentic-sp-sock-pk-u-pack-of-6-black,S,,,R2EX9A01-09-S,,,Antrim,,,,20,20
mizuno-authentic-sp-sock-pk-u-pack-of-6-black,M,,,R2EX9A01-09-M,,,Antrim,,,,3,3
mizuno-authentic-sp-sock-pk-u-pack-of-6-black,L,,,R2EX9A01-09-L,,,Antrim,,,,0,0
mizuno-authentic-sp-sock-pk-u-pack-of-6-black,XL,,,R2EX9A01-09-XL,,,Antrim,,,,5,5
mizuno-authentic-sp-sock-pk-u-pack-of-6-red,S,,,R2EX9A01-62-S,,,Antrim,,,,15,15
mizuno-authentic-sp-sock-pk-u-pack-of-6-red,M,,,R2EX9A01-62-M,,,Antrim,,,,20,20
mizuno-authentic-sp-sock-pk-u-pack-of-6-red,L,,,R2EX9A01-62-L,,,Antrim,,,,20,20
mizuno-authentic-sp-sock-pk-u-pack-of-6-red,XL,,,R2EX9A01-62-XL,,,Antrim,,,,20,20
mizuno-handball-socks-6pair-u-01,S,,,32EX0X01-01-S,,,Antrim,,,,0,0
mizuno-handball-socks-6pair-u-01,M,,,32EX0X01-01-M,,,Antrim,,,,20,20
mizuno-handball-socks-6pair-u-01,L,,,32EX0X01-01-L,,,Antrim,,,,20,20
mizuno-handball-socks-6pair-u-01,XL,,,32EX0X01-01-XL,,,Antrim,,,,20,20
mizuno-handball-socks-6pair-u-01,XXL,,,32EX0X01-01-XXL,,,Antrim,,,,10,10
mizuno-handball-socks-6pair-u-15,S,,,32EX0X01-15-S,,,Antrim,,,,0,0
mizuno-handball-socks-6pair-u-15,M,,,32EX0X01-15-M,,,Antrim,,,,20,20
mizuno-handball-socks-6pair-u-15,L,,,32EX0X01-15-L,,,Antrim,,,,20,20
mizuno-handball-socks-6pair-u-15,XL,,,32EX0X01-15-XL,,,Antrim,,,,20,20
mizuno-handball-socks-6pair-u-15,XXL,,,32EX0X01-15-XXL,,,Antrim,,,,9,9
