Handle,Option1 Value,Option2 Value,Option3 Value,SKU,HS Code,COO,Location,Incoming,Unavailable,Committed,Available,On hand
mizuno-takeshi-gym-shorts-m-black,3XL,,,32EB4A01-09-3XL,,,Antrim,,,,20,20
mizuno-takeshi-gym-shorts-m-black,S,,,32EB4A01-09-S,,,Antrim,,,,20,20
mizuno-takeshi-gym-shorts-m-black,4XL,,,32EB4A01-09-4XL,,,Antrim,,,,20,20
mizuno-takeshi-gym-shorts-m-black,XS,,,32EB4A01-09-XS,,,Antrim,,,,20,20
mizuno-takeshi-gym-shorts-m-black,Y8,,,32EB4B01-09-Y8,,,Antrim,,,,1,1
mizuno-takeshi-gym-shorts-m-black,Y10,,,32EB4B01-09-Y10,,,Antrim,,,,15,15
mizuno-takeshi-gym-shorts-m-black,Y12,,,32EB4B01-09-Y12,,,Antrim,,,,2,2
mizuno-takeshi-gym-shorts-m-black,YXS,,,32EB4B01-09-YXS,,,Antrim,,,,20,20
mizuno-takeshi-gym-shorts-m-black,Y6,,,32EB4B01-09-Y6,,,Antrim,,,,17,17
mizuno-authentic-r-short-m-m-white,S,,,32EB8A11-01-S,,,Antrim,,,,20,20
mizuno-authentic-r-short-m-m-white,M,,,32EB8A11-01-M,,,Antrim,,,,20,20
mizuno-authentic-r-short-m-m-white,L,,,32EB8A11-01-L,,,Antrim,,,,20,20
mizuno-authentic-r-short-m-m-white,XL,,,32EB8A11-01-XL,,,Antrim,,,,20,20
mizuno-authentic-r-short-m-m-white,XXL,,,32EB8A11-01-XXL,,,Antrim,,,,20,20
mizuno-authentic-r-short-m-m-white,3XL,,,32EB8A11-01-3XL,,,Antrim,,,,20,20
mizuno-authentic-r-short-m-m-white,4XL,,,32EB8A11-01-4XL,,,Antrim,,,,20,20
mizuno-authentic-r-short-m-m-navy,S,,,32EB8A11-14-S,,,Antrim,,,,20,20
mizuno-authentic-r-short-m-m-navy,M,,,32EB8A11-14-M,,,Antrim,,,,20,20
mizuno-authentic-r-short-m-m-navy,L,,,32EB8A11-14-L,,,Antrim,,,,20,20
mizuno-authentic-r-short-m-m-navy,XL,,,32EB8A11-14-XL,,,Antrim,,,,20,20
mizuno-authentic-r-short-m-m-navy,XXL,,,32EB8A11-14-XXL,,,Antrim,,,,20,20
mizuno-authentic-r-short-m-m-navy,3XL,,,32EB8A11-14-3XL,,,Antrim,,,,16,16
mizuno-authentic-r-short-m-m-navy,4XL,,,32EB8A11-14-4XL,,,Antrim,,,,20,20
mizuno-core-bermuda-m-m-black,S,,,32EB9635-09-S,,,Antrim,,,,20,20
mizuno-core-bermuda-m-m-black,M,,,32EB9635-09-M,,,Antrim,,,,20,20
mizuno-core-bermuda-m-m-black,L,,,32EB9635-09-L,,,Antrim,,,,10,10
mizuno-core-bermuda-m-m-black,XL,,,32EB9635-09-XL,,,Antrim,,,,17,17
mizuno-core-bermuda-m-m-black,XXL,,,32EB9635-09-XXL,,,Antrim,,,,20,20
mizuno-training-short-m-09,XS,,,32EBA520-09-XS,,,Antrim,,,,20,20
mizuno-training-short-m-09,S,,,32EBA520-09-S,,,Antrim,,,,20,20
mizuno-training-short-m-09,M,,,32EBA520-09-M,,,Antrim,,,,20,20
mizuno-training-short-m-09,L,,,32EBA520-09-L,,,Antrim,,,,20,20
mizuno-training-short-m-09,XL,,,32EBA520-09-XL,,,Antrim,,,,20,20
mizuno-training-short-m-09,XXL,,,32EBA520-09-XXL,,,Antrim,,,,20,20
mizuno-training-short-m-09,3XL,,,32EBA520-09-3XL,,,Antrim,,,,9,9
mizuno-training-short-m-09,4XL,,,32EBA520-09-4XL,,,Antrim,,,,20,20
mizuno-shizuoka-ft-tee-m-m-grey,S,,,32EA8A05-05-S,,,Antrim,,,,20,20
mizuno-shizuoka-ft-tee-m-m-grey,M,,,32EA8A05-05-M,,,Antrim,,,,1,1
mizuno-shizuoka-ft-tee-m-m-grey,L,,,32EA8A05-05-L,,,Antrim,,,,20,20
mizuno-shizuoka-ft-tee-m-m-grey,XL,,,32EA8A05-05-XL,,,Antrim,,,,16,16
mizuno-shizuoka-ft-tee-m-m-grey,XXL,,,32EA8A05-05-XXL,,,Antrim,,,,20,20
mizuno-shizuoka-ft-tee-m-m-grey,3XL,,,32EA8A05-05-3XL,,,Antrim,,,,15,15
mizuno-shizuoka-ft-tee-m-m-grey,4XL,,,32EA8A05-05-4XL,,,Antrim,,,,20,20
mizuno-shizuoka-ft-tee-m-m-navy,S,,,32EA8A05-14-S,,,Antrim,,,,20,20
mizuno-shizuoka-ft-tee-m-m-navy,M,,,32EA8A05-14-M,,,Antrim,,,,0,0
mizuno-shizuoka-ft-tee-m-m-navy,L,,,32EA8A05-14-L,,,Antrim,,,,18,18
mizuno-shizuoka-ft-tee-m-m-navy,XL,,,32EA8A05-14-XL,,,Antrim,,,,20,20
mizuno-shizuoka-ft-tee-m-m-navy,XXL,,,32EA8A05-14-XXL,,,Antrim,,,,20,20
mizuno-shizuoka-ft-tee-m-m-navy,3XL,,,32EA8A05-14-3XL,,,Antrim,,,,20,20
mizuno-shizuoka-ft-tee-m-m-navy,4XL,,,32EA8A05-14-4XL,,,Antrim,,,,19,19
mizuno-shizuoka-ft-polo-m-m-grey,S,,,32EA8A06-05-S,,,Antrim,,,,20,20
mizuno-shizuoka-ft-polo-m-m-grey,M,,,32EA8A06-05-M,,,Antrim,,,,20,20
mizuno-shizuoka-ft-polo-m-m-grey,L,,,32EA8A06-05-L,,,Antrim,,,,20,20
mizuno-shizuoka-ft-polo-m-m-grey,XL,,,32EA8A06-05-XL,,,Antrim,,,,20,20
mizuno-shizuoka-ft-polo-m-m-grey,XXL,,,32EA8A06-05-XXL,,,Antrim,,,,20,20
mizuno-shizuoka-ft-polo-m-m-grey,3XL,,,32EA8A06-05-3XL,,,Antrim,,,,20,20
mizuno-shizuoka-ft-polo-m-m-grey,4XL,,,32EA8A06-05-4XL,,,Antrim,,,,20,20
mizuno-shizuoka-ft-polo-m-m-navy,S,,,32EA8A06-14-S,,,Antrim,,,,20,20
mizuno-shizuoka-ft-polo-m-m-navy,M,,,32EA8A06-14-M,,,Antrim,,,,20,20
mizuno-shizuoka-ft-polo-m-m-navy,L,,,32EA8A06-14-L,,,Antrim,,,,20,20
mizuno-shizuoka-ft-polo-m-m-navy,XL,,,32EA8A06-14-XL,,,Antrim,,,,20,20
mizuno-shizuoka-ft-polo-m-m-navy,XXL,,,32EA8A06-14-XXL,,,Antrim,,,,20,20
mizuno-shizuoka-ft-polo-m-m-navy,3XL,,,32EA8A06-14-3XL,,,Antrim,,,,20,20
mizuno-shizuoka-ft-polo-m-m-navy,4XL,,,32EA8A06-14-4XL,,,Antrim,,,,20,20
mizuno-men-core-polo-m-14,S,,,32EA7001-14-S,,,Antrim,,,,20,20
mizuno-men-core-polo-m-14,M,,,32EA7001-14-M,,,Antrim,,,,0,0
mizuno-men-core-polo-m-14,L,,,32EA7001-14-L,,,Antrim,,,,7,7
mizuno-men-core-polo-m-14,XL,,,32EA7001-14-XL,,,Antrim,,,,19,19
mizuno-men-core-polo-m-14,XXL,,,32EA7001-14-XXL,,,Antrim,,,,20,20
mizuno-men-core-polo-m-14,3XL,,,32EA7001-14-3XL,,,Antrim,,,,20,20
mizuno-men-core-polo-m-14,4XL,,,32EA7001-14-4XL,,,Antrim,,,,17,17
mizuno-men-core-polo-m-14,XS,,,32EA7201-14-XS,,,Antrim,,,,20,20
mizuno-men-core-ss-tee-m-10,S,,,32EA7002-10-S,,,Antrim,,,,0,0
mizuno-men-core-ss-tee-m-10,M,,,32EA7002-10-M,,,Antrim,,,,1,1
mizuno-men-core-ss-tee-m-10,L,,,32EA7002-10-L,,,Antrim,,,,20,20
mizuno-men-core-ss-tee-m-10,XL,,,32EA7002-10-XL,,,Antrim,,,,20,20
