Handle,Option1 Value,Option2 Value,Option3 Value,SKU,Location,On hand (new)
32eb8a11-01,3XL,,,32EB8A11-01-3XL,Antrim,20
32eb8a11-01,4XL,,,32EB8A11-01-4XL,Antrim,20
32eb8a11-14,S,,,32EB8A11-14-S,Antrim,20
32eb8a11-14,M,,,32EB8A11-14-M,Antrim,20
32eb8a11-14,L,,,32EB8A11-14-L,Antrim,20
32eb8a11-14,XL,,,32EB8A11-14-XL,Antrim,20
32eb8a11-14,XXL,,,32EB8A11-14-XXL,Antrim,20
32eb8a11-14,3XL,,,32EB8A11-14-3XL,Antrim,16
32eb8a11-14,4XL,,,32EB8A11-14-4XL,Antrim,20
32eb9635-09,S,,,32EB9635-09-S,Antrim,20
32eb9635-09,M,,,32EB9635-09-M,Antrim,20
32eb9635-09,L,,,32EB9635-09-L,Antrim,10
32eb9635-09,XL,,,32EB9635-09-XL,Antrim,17
32eb9635-09,XXL,,,32EB9635-09-XXL,Antrim,20
32eba520-09,XS,,,32EBA520-09-XS,Antrim,20
32eba520-09,S,,,32EBA520-09-S,Antrim,20
32eba520-09,M,,,32EBA520-09-M,Antrim,20
32eba520-09,L,,,32EBA520-09-L,Antrim,20
32eba520-09,XL,,,32EBA520-09-XL,Antrim,20
32eba520-09,XXL,,,32EBA520-09-XXL,Antrim,20
32eba520-09,3XL,,,32EBA520-09-3XL,Antrim,9
32eba520-09,4XL,,,32EBA520-09-4XL,Antrim,20
32ea8a05-05,S,,,32EA8A05-05-S,Antrim,20
32ea8a05-05,M,,,32EA8A05-05-M,Antrim,1
32ea8a05-05,L,,,32EA8A05-05-L,Antrim,20
32ea8a05-05,XL,,,32EA8A05-05-XL,Antrim,16
32ea8a05-05,XXL,,,32EA8A05-05-XXL,Antrim,20
32ea8a05-05,3XL,,,32EA8A05-05-3XL,Antrim,15
32ea8a05-05,4XL,,,32EA8A05-05-4XL,Antrim,20
32ea8a05-14,S,,,32EA8A05-14-S,Antrim,20
32ea8a05-14,M,,,32EA8A05-14-M,Antrim,0
32ea8a05-14,L,,,32EA8A05-14-L,Antrim,18
32ea8a05-14,XL,,,32EA8A05-14-XL,Antrim,20
32ea8a05-14,XXL,,,32EA8A05-14-XXL,Antrim,20
32ea8a05-14,3XL,,,32EA8A05-14-3XL,Antrim,20
32ea8a05-14,4XL,,,32EA8A05-14-4XL,Antrim,19
32ea8a06-05,S,,,32EA8A06-05-S,Antrim,20
32ea8a06-05,M,,,32EA8A06-05-M,Antrim,20
32ea8a06-05,L,,,32EA8A06-05-L,Antrim,20
32ea8a06-05,XL,,,32EA8A06-05-XL,Antrim,20
32ea8a06-05,XXL,,,32EA8A06-05-XXL,Antrim,20
32ea8a06-05,3XL,,,32EA8A06-05-3XL,Antrim,20
