Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Taxable,Status,Image Src,Image Position,Cost per item
mizuno-sideline-jacket-m-09,Mizuno - Sideline Jacket (m) - 09,,Mizuno,Apparel & Accessories,Teamwear,"mizuno-teamwear, style-32ee6a10, colour-09, vat-exempt-junior",FALSE,Size,Y6,32FE9B07-09-Y6,46,,shopify,,deny,manual,FALSE,draft,https://www.mizunodirect.com/img_catalog/32EE6A1009.jpg,1,23
mizuno-sideline-jacket-m-09,,,,,,,FALSE,Size,Y8,32FE9B07-09-Y8,46,,shopify,,deny,manual,FALSE,draft,,,23
mizuno-sideline-jacket-m-09,,,,,,,FALSE,Size,Y10,32FE9B07-09-Y10,46,,shopify,,deny,manual,FALSE,draft,,,23
mizuno-sideline-jacket-m-09,,,,,,,FALSE,Size,Y12,32FE9B07-09-Y12,46,,shopify,,deny,manual,FALSE,draft,,,23
mizuno-sideline-jacket-m-09,,,,,,,FALSE,Size,Y14,32FE9B07-09-Y14,46,,shopify,,deny,manual,FALSE,draft,,,23
mizuno-sideline-jacket-m-09,,,,,,,FALSE,Size,S,32EE6A10-09-S,50,,shopify,0,deny,manual,TRUE,draft,,,25
mizuno-sideline-jacket-m-09,,,,,,,FALSE,Size,M,32EE6A10-09-M,50,,shopify,16,deny,manual,TRUE,draft,,,25
mizuno-sideline-jacket-m-09,,,,,,,FALSE,Size,L,32EE6A10-09-L,50,,shopify,0,deny,manual,TRUE,draft,,,25
mizuno-sideline-jacket-m-09,,,,,,,FALSE,Size,XL,32EE6A10-09-XL,50,,shopify,0,deny,manual,TRUE,draft,,,25
mizuno-sideline-jacket-m-09,,,,,,,FALSE,Size,XXL,32EE6A10-09-XXL,50,,shopify,0,deny,manual,TRUE,draft,,,25
mizuno-sideline-jacket-m-09,,,,,,,FALSE,Size,3XL,32EE6A10-09-3XL,50,,shopify,0,deny,manual,TRUE,draft,,,25
mizuno-sideline-jacket-m-09,,,,,,,FALSE,Size,4XL,32EE6A10-09-4XL,50,,shopify,8,deny,manual,TRUE,draft,,,25
mizuno-sapporo-hybrid-jkt-m-m-black,Mizuno - Sapporo Hybrid Jkt M(m) - Black,,Mizuno,Apparel & Accessories,Teamwear,"mizuno-teamwear, style-32fe9a02, colour-09, color-black, vat-standard",FALSE,Size,XS,32FE9A02-09-XS,50,,shopify,20,deny,manual,TRUE,draft,https://www.mizunodirect.com/img_catalog/32FE9A0209.jpg,1,25
mizuno-sapporo-hybrid-jkt-m-m-black,,,,,,,FALSE,Size,S,32FE9A02-09-S,50,,shopify,20,deny,manual,TRUE,draft,,,25
mizuno-sapporo-hybrid-jkt-m-m-black,,,,,,,FALSE,Size,M,32FE9A02-09-M,50,,shopify,20,deny,manual,TRUE,draft,,,25
mizuno-sapporo-hybrid-jkt-m-m-black,,,,,,,FALSE,Size,L,32FE9A02-09-L,50,,shopify,20,deny,manual,TRUE,draft,,,25
mizuno-sapporo-hybrid-jkt-m-m-black,,,,,,,FALSE,Size,XL,32FE9A02-09-XL,50,,shopify,3,deny,manual,TRUE,draft,,,25
mizuno-sapporo-hybrid-jkt-m-m-black,,,,,,,FALSE,Size,XXL,32FE9A02-09-XXL,50,,shopify,20,deny,manual,TRUE,draft,,,25
mizuno-sapporo-hybrid-jkt-m-m-black,,,,,,,FALSE,Size,3XL,32FE9A02-09-3XL,50,,shopify,2,deny,manual,TRUE,draft,,,25
mizuno-sapporo-hybrid-jkt-m-m-black,,,,,,,FALSE,Size,4XL,32FE9A02-09-4XL,50,,shopify,20,deny,manual,TRUE,draft,,,25
mizuno-sapporo-hybrid-glt-m-m-black,Mizuno - Sapporo Hybrid Glt M(m) - Black,,Mizuno,Apparel & Accessories,Teamwear,"mizuno-teamwear, style-32fe9a06, colour-09, color-black, vat-standard",FALSE,Size,XS,32FE9A06-09-XS,50,,shopify,0,deny,manual,TRUE,draft,https://www.mizunodirect.com/img_catalog/32FE9A0609.jpg,1,25
mizuno-sapporo-hybrid-glt-m-m-black,,,,,,,FALSE,Size,S,32FE9A06-09-S,50,,shopify,20,deny,manual,TRUE,draft,,,25
mizuno-sapporo-hybrid-glt-m-m-black,,,,,,,FALSE,Size,M,32FE9A06-09-M,50,,shopify,20,deny,manual,TRUE,draft,,,25
mizuno-sapporo-hybrid-glt-m-m-black,,,,,,,FALSE,Size,L,32FE9A06-09-L,50,,shopify,20,deny,manual,TRUE,draft,,,25
mizuno-sapporo-hybrid-glt-m-m-black,,,,,,,FALSE,Size,XL,32FE9A06-09-XL,50,,shopify,20,deny,manual,TRUE,draft,,,25
mizuno-sapporo-hybrid-glt-m-m-black,,,,,,,FALSE,Size,XXL,32FE9A06-09-XXL,50,,shopify,20,deny,manual,TRUE,draft,,,25
mizuno-sapporo-hybrid-glt-m-m-black,,,,,,,FALSE,Size,3XL,32FE9A06-09-3XL,50,,shopify,20,deny,manual,TRUE,draft,,,25
mizuno-sapporo-hybrid-glt-m-m-black,,,,,,,FALSE,Size,4XL,32FE9A06-09-4XL,50,,shopify,20,deny,manual,TRUE,draft,,,25
mizuno-mizuno-club-jacket-m-m-black,Mizuno - Mizuno Club Jacket M(m) - Black,,Mizuno,Apparel & Accessories,Teamwear,"mizuno-teamwear, style-32fe9a07, colour-09, color-black, vat-standard",FALSE,Size,S,32FE9A07-09-S,50,,shopify,20,deny,manual,TRUE,draft,https://www.mizunodirect.com/img_catalog/32FE9A0709.jpg,1,25
mizuno-mizuno-club-jacket-m-m-black,,,,,,,FALSE,Size,M,32FE9A07-09-M,50,,shopify,20,deny,manual,TRUE,draft,,,25
mizuno-mizuno-club-jacket-m-m-black,,,,,,,FALSE,Size,L,32FE9A07-09-L,50,,shopify,20,deny,manual,TRUE,draft,,,25
mizuno-mizuno-club-jacket-m-m-black,,,,,,,FALSE,Size,XL,32FE9A07-09-XL,50,,shopify,20,deny,manual,TRUE,draft,,,25
mizuno-mizuno-club-jacket-m-m-black,,,,,,,FALSE,Size,XXL,32FE9A07-09-XXL,50,,shopify,20,deny,manual,TRUE,draft,,,25
mizuno-mizuno-club-jacket-m-m-black,,,,,,,FALSE,Size,3XL,32FE9A07-09-3XL,50,,shopify,20,deny,manual,TRUE,draft,,,25
mizuno-mizuno-club-jacket-m-m-black,,,,,,,FALSE,Size,4XL,32FE9A07-09-4XL,50,,shopify,17,deny,manual,TRUE,draft,,,25
mizuno-men-auth-singlet-m-19,Mizuno - Men Auth Singlet(m) - 19,,Mizuno,Apparel & Accessories,Teamwear,"mizuno-teamwear, style-u2ea7101, colour-19, vat-standard",FALSE,Size,4XL,U2EA7101-19-4XL,20,,shopify,0,deny,manual,TRUE,draft,https://www.mizunodirect.com/img_catalog/U2EA7101191.jpg,1,10
mizuno-takeshi-gym-shorts-m-black,Mizuno - Takeshi Gym Shorts(m) - Black,,Mizuno,Apparel & Accessories,Teamwear,"mizuno-teamwear, style-32eb4a01, colour-09, color-black, vat-exempt-junior",FALSE,Size,Y6,32EB4B01-09-Y6,26,,shopify,17,deny,manual,FALSE,draft,https://www.mizunodirect.com/img_catalog/32EB4A0109.jpg,1,13
mizuno-takeshi-gym-shorts-m-black,,,,,,,FALSE,Size,Y8,32EB4B01-09-Y8,26,,shopify,1,deny,manual,FALSE,draft,,,13
mizuno-takeshi-gym-shorts-m-black,,,,,,,FALSE,Size,Y10,32EB4B01-09-Y10,26,,shopify,15,deny,manual,FALSE,draft,,,13
mizuno-takeshi-gym-shorts-m-black,,,,,,,FALSE,Size,Y12,32EB4B01-09-Y12,26,,shopify,2,deny,manual,FALSE,draft,,,13
mizuno-takeshi-gym-shorts-m-black,,,,,,,FALSE,Size,Y14,32EB1B05-09-Y14,26,,shopify,20,deny,manual,FALSE,draft,,,13
mizuno-takeshi-gym-shorts-m-black,,,,,,,FALSE,Size,YXS,32EB4B01-09-YXS,26,,shopify,20,deny,manual,FALSE,draft,,,13
mizuno-takeshi-gym-shorts-m-black,,,,,,,FALSE,Size,XS,32EB4A01-09-XS,28,,shopify,20,deny,manual,TRUE,draft,,,14
mizuno-takeshi-gym-shorts-m-black,,,,,,,FALSE,Size,S,32EB4A01-09-S,28,,shopify,20,deny,manual,TRUE,draft,,,14
mizuno-takeshi-gym-shorts-m-black,,,,,,,FALSE,Size,M,32EB4A01-09-M,28,,shopify,17,deny,manual,TRUE,draft,,,14
mizuno-takeshi-gym-shorts-m-black,,,,,,,FALSE,Size,L,32EB4A01-09-L,28,,shopify,20,deny,manual,TRUE,draft,,,14
mizuno-takeshi-gym-shorts-m-black,,,,,,,FALSE,Size,XL,32EB4A01-09-XL,28,,shopify,20,deny,manual,TRUE,draft,,,14
mizuno-takeshi-gym-shorts-m-black,,,,,,,FALSE,Size,XXL,32EB4A01-09-XXL,28,,shopify,20,deny,manual,TRUE,draft,,,14
mizuno-takeshi-gym-shorts-m-black,,,,,,,FALSE,Size,3XL,32EB4A01-09-3XL,28,,shopify,20,deny,manual,TRUE,draft,,,14
mizuno-takeshi-gym-shorts-m-black,,,,,,,FALSE,Size,4XL,32EB4A01-09-4XL,28,,shopify,20,deny,manual,TRUE,draft,,,14
mizuno-authentic-r-short-m-m-white,Mizuno - Authentic R Short M(m) - White,,Mizuno,Apparel & Accessories,Teamwear,"mizuno-teamwear, style-32eb8a11, colour-01, color-white, vat-exempt-junior",FALSE,Size,Y6,32EB8B11-01-Y6,26,,shopify,,deny,manual,FALSE,draft,https://www.mizunodirect.com/img_catalog/32EB8A1101.jpg,1,13
mizuno-authentic-r-short-m-m-white,,,,,,,FALSE,Size,Y8,32EB8B11-01-Y8,26,,shopify,,deny,manual,FALSE,draft,,,13
mizuno-authentic-r-short-m-m-white,,,,,,,FALSE,Size,Y10,32EB8B11-01-Y10,26,,shopify,,deny,manual,FALSE,draft,,,13
mizuno-authentic-r-short-m-m-white,,,,,,,FALSE,Size,Y12,32EB8B11-01-Y12,26,,shopify,,deny,manual,FALSE,draft,,,13
mizuno-authentic-r-short-m-m-white,,,,,,,FALSE,Size,Y14,32EB8B11-01-Y14,26,,shopify,,deny,manual,FALSE,draft,,,13
mizuno-authentic-r-short-m-m-white,,,,,,,FALSE,Size,S,32EB8A11-01-S,28,,shopify,20,deny,manual,TRUE,draft,,,14
mizuno-authentic-r-short-m-m-white,,,,,,,FALSE,Size,M,32EB8A11-01-M,28,,shopify,20,deny,manual,TRUE,draft,,,14
mizuno-authentic-r-short-m-m-white,,,,,,,FALSE,Size,L,32EB8A11-01-L,28,,shopify,20,deny,manual,TRUE,draft,,,14
mizuno-authentic-r-short-m-m-white,,,,,,,FALSE,Size,XL,32EB8A11-01-XL,28,,shopify,20,deny,manual,TRUE,draft,,,14
mizuno-authentic-r-short-m-m-white,,,,,,,FALSE,Size,XXL,32EB8A11-01-XXL,28,,shopify,20,deny,manual,TRUE,draft,,,14
mizuno-authentic-r-short-m-m-white,,,,,,,FALSE,Size,3XL,32EB8A11-01-3XL,28,,shopify,20,deny,manual,TRUE,draft,,,14
mizuno-authentic-r-short-m-m-white,,,,,,,FALSE,Size,4XL,32EB8A11-01-4XL,28,,shopify,20,deny,manual,TRUE,draft,,,14
mizuno-authentic-r-short-m-m-navy,Mizuno - Authentic R Short M(m) - Navy,,Mizuno,Apparel & Accessories,Teamwear,"mizuno-teamwear, style-32eb8a11, colour-14, color-navy, vat-exempt-junior",FALSE,Size,Y6,32EB8B11-14-Y6,26,,shopify,,deny,manual,FALSE,draft,https://www.mizunodirect.com/img_catalog/32EB8A1114.jpg,1,13
mizuno-authentic-r-short-m-m-navy,,,,,,,FALSE,Size,Y8,32EB8B11-14-Y8,26,,shopify,,deny,manual,FALSE,draft,,,13
mizuno-authentic-r-short-m-m-navy,,,,,,,FALSE,Size,Y10,32EB8B11-14-Y10,26,,shopify,,deny,manual,FALSE,draft,,,13
mizuno-authentic-r-short-m-m-navy,,,,,,,FALSE,Size,Y12,32EB8B11-14-Y12,26,,shopify,,deny,manual,FALSE,draft,,,13
mizuno-authentic-r-short-m-m-navy,,,,,,,FALSE,Size,Y14,32EB8B11-14-Y14,26,,shopify,,deny,manual,FALSE,draft,,,13
mizuno-authentic-r-short-m-m-navy,,,,,,,FALSE,Size,S,32EB8A11-14-S,28,,shopify,20,deny,manual,TRUE,draft,,,14
mizuno-authentic-r-short-m-m-navy,,,,,,,FALSE,Size,M,32EB8A11-14-M,28,,shopify,20,deny,manual,TRUE,draft,,,14
mizuno-authentic-r-short-m-m-navy,,,,,,,FALSE,Size,L,32EB8A11-14-L,28,,shopify,20,deny,manual,TRUE,draft,,,14
mizuno-authentic-r-short-m-m-navy,,,,,,,FALSE,Size,XL,32EB8A11-14-XL,28,,shopify,20,deny,manual,TRUE,draft,,,14
mizuno-authentic-r-short-m-m-navy,,,,,,,FALSE,Size,XXL,32EB8A11-14-XXL,28,,shopify,20,deny,manual,TRUE,draft,,,14
mizuno-authentic-r-short-m-m-navy,,,,,,,FALSE,Size,3XL,32EB8A11-14-3XL,28,,shopify,16,deny,manual,TRUE,draft,,,14
mizuno-authentic-r-short-m-m-navy,,,,,,,FALSE,Size,4XL,32EB8A11-14-4XL,28,,shopify,20,deny,manual,TRUE,draft,,,14
mizuno-core-bermuda-m-m-black,Mizuno - Core Bermuda M(m) - Black,,Mizuno,Apparel & Accessories,Teamwear,"mizuno-teamwear, style-32eb9635, colour-09, color-black, vat-exempt-junior",FALSE,Size,Y6,32EB9935-09-Y6,26,,shopify,,deny,manual,FALSE,draft,https://www.mizunodirect.com/img_catalog/32EB963509.jpg,1,13
mizuno-core-bermuda-m-m-black,,,,,,,FALSE,Size,Y8,32EB9935-09-Y8,26,,shopify,,deny,manual,FALSE,draft,,,13
mizuno-core-bermuda-m-m-black,,,,,,,FALSE,Size,Y10,32EB9935-09-Y10,26,,shopify,,deny,manual,FALSE,draft,,,13
mizuno-core-bermuda-m-m-black,,,,,,,FALSE,Size,Y12,32EB9935-09-Y12,26,,shopify,,deny,manual,FALSE,draft,,,13
mizuno-core-bermuda-m-m-black,,,,,,,FALSE,Size,Y14,32EB9935-09-Y14,26,,shopify,,deny,manual,FALSE,draft,,,13
mizuno-core-bermuda-m-m-black,,,,,,,FALSE,Size,S,32EB9635-09-S,28,,shopify,20,deny,manual,TRUE,draft,,,14
mizuno-core-bermuda-m-m-black,,,,,,,FALSE,Size,M,32EB9635-09-M,28,,shopify,20,deny,manual,TRUE,draft,,,14
mizuno-core-bermuda-m-m-black,,,,,,,FALSE,Size,L,32EB9635-09-L,28,,shopify,10,deny,manual,TRUE,draft,,,14
mizuno-core-bermuda-m-m-black,,,,,,,FALSE,Size,XL,32EB9635-09-XL,28,,shopify,17,deny,manual,TRUE,draft,,,14
mizuno-core-bermuda-m-m-black,,,,,,,FALSE,Size,XXL,32EB9635-09-XXL,28,,shopify,20,deny,manual,TRUE,draft,,,14
mizuno-training-short-m-09,Mizuno - Training Short (m) - 09,,Mizuno,Apparel & Accessories,Teamwear,"mizuno-teamwear, style-32eba520, colour-09, vat-standard",FALSE,Size,XS,32EBA520-09-XS,28,,shopify,20,deny,manual,TRUE,draft,https://www.mizunodirect.com/img_catalog/32EBA52009.jpg,1,14
mizuno-training-short-m-09,,,,,,,FALSE,Size,S,32EBA520-09-S,28,,shopify,20,deny,manual,TRUE,draft,,,14
mizuno-training-short-m-09,,,,,,,FALSE,Size,M,32EBA520-09-M,28,,shopify,20,deny,manual,TRUE,draft,,,14
mizuno-training-short-m-09,,,,,,,FALSE,Size,L,32EBA520-09-L,28,,shopify,20,deny,manual,TRUE,draft,,,14
mizuno-training-short-m-09,,,,,,,FALSE,Size,XL,32EBA520-09-XL,28,,shopify,20,deny,manual,TRUE,draft,,,14
mizuno-training-short-m-09,,,,,,,FALSE,Size,XXL,32EBA520-09-XXL,28,,shopify,20,deny,manual,TRUE,draft,,,14
mizuno-training-short-m-09,,,,,,,FALSE,Size,3XL,32EBA520-09-3XL,28,,shopify,9,deny,manual,TRUE,draft,,,14
mizuno-training-short-m-09,,,,,,,FALSE,Size,4XL,32EBA520-09-4XL,28,,shopify,20,deny,manual,TRUE,draft,,,14
mizuno-shizuoka-ft-tee-m-m-grey,Mizuno - Shizuoka Ft Tee M(m) - Grey,,Mizuno,Apparel & Accessories,Teamwear,"mizuno-teamwear, style-32ea8a05, colour-05, color-grey, vat-standard",FALSE,Size,S,32EA8A05-05-S,26,,shopify,20,deny,manual,TRUE,draft,https://www.mizunodirect.com/img_catalog/32EA8A0505.jpg,1,13
mizuno-shizuoka-ft-tee-m-m-grey,,,,,,,FALSE,Size,M,32EA8A05-05-M,26,,shopify,1,deny,manual,TRUE,draft,,,13
mizuno-shizuoka-ft-tee-m-m-grey,,,,,,,FALSE,Size,L,32EA8A05-05-L,26,,shopify,20,deny,manual,TRUE,draft,,,13
mizuno-shizuoka-ft-tee-m-m-grey,,,,,,,FALSE,Size,XL,32EA8A05-05-XL,26,,shopify,16,deny,manual,TRUE,draft,,,13
mizuno-shizuoka-ft-tee-m-m-grey,,,,,,,FALSE,Size,XXL,32EA8A05-05-XXL,26,,shopify,20,deny,manual,TRUE,draft,,,13
mizuno-shizuoka-ft-tee-m-m-grey,,,,,,,FALSE,Size,3XL,32EA8A05-05-3XL,26,,shopify,15,deny,manual,TRUE,draft,,,13
mizuno-shizuoka-ft-tee-m-m-grey,,,,,,,FALSE,Size,4XL,32EA8A05-05-4XL,26,,shopify,20,deny,manual,TRUE,draft,,,13
mizuno-shizuoka-ft-tee-m-m-navy,Mizuno - Shizuoka Ft Tee M(m) - Navy,,Mizuno,Apparel & Accessories,Teamwear,"mizuno-teamwear, style-32ea8a05, colour-14, color-navy, vat-standard",FALSE,Size,S,32EA8A05-14-S,26,,shopify,20,deny,manual,TRUE,draft,https://www.mizunodirect.com/img_catalog/32EA8A0514.jpg,1,13
mizuno-shizuoka-ft-tee-m-m-navy,,,,,,,FALSE,Size,M,32EA8A05-14-M,26,,shopify,0,deny,manual,TRUE,draft,,,13
mizuno-shizuoka-ft-tee-m-m-navy,,,,,,,FALSE,Size,L,32EA8A05-14-L,26,,shopify,18,deny,manual,TRUE,draft,,,13
mizuno-shizuoka-ft-tee-m-m-navy,,,,,,,FALSE,Size,XL,32EA8A05-14-XL,26,,shopify,20,deny,manual,TRUE,draft,,,13
mizuno-shizuoka-ft-tee-m-m-navy,,,,,,,FALSE,Size,XXL,32EA8A05-14-XXL,26,,shopify,20,deny,manual,TRUE,draft,,,13
