sku,available,note
32EB4A01-09-XXL,20,Verify inventory if 20+ capped at 20.
32EB4A01-09-3XL,20,Verify inventory if 20+ capped at 20.
32EB4A01-09-4XL,20,Verify inventory if 20+ capped at 20.
32EB8B11-01-Y6,,Verify inventory if 20+ capped at 20.
32EB8B11-01-Y8,,Verify inventory if 20+ capped at 20.
32EB8B11-01-Y10,,Verify inventory if 20+ capped at 20.
32EB8B11-01-Y12,,Verify inventory if 20+ capped at 20.
32EB8B11-01-Y14,,Verify inventory if 20+ capped at 20.
32EB8A11-01-S,20,Verify inventory if 20+ capped at 20.
32EB8A11-01-M,20,Verify inventory if 20+ capped at 20.
32EB8A11-01-L,20,Verify inventory if 20+ capped at 20.
32EB8A11-01-XL,20,Verify inventory if 20+ capped at 20.
32EB8A11-01-XXL,20,Verify inventory if 20+ capped at 20.
32EB8A11-01-3XL,20,Verify inventory if 20+ capped at 20.
32EB8A11-01-4XL,20,Verify inventory if 20+ capped at 20.
32EB8B11-14-Y6,,Verify inventory if 20+ capped at 20.
32EB8B11-14-Y8,,Verify inventory if 20+ capped at 20.
32EB8B11-14-Y10,,Verify inventory if 20+ capped at 20.
32EB8B11-14-Y12,,Verify inventory if 20+ capped at 20.
32EB8B11-14-Y14,,Verify inventory if 20+ capped at 20.
32EB8A11-14-S,20,Verify inventory if 20+ capped at 20.
32EB8A11-14-M,20,Verify inventory if 20+ capped at 20.
32EB8A11-14-L,20,Verify inventory if 20+ capped at 20.
32EB8A11-14-XL,20,Verify inventory if 20+ capped at 20.
32EB8A11-14-XXL,20,Verify inventory if 20+ capped at 20.
32EB8A11-14-3XL,16,Verify inventory if 20+ capped at 20.
32EB8A11-14-4XL,20,Verify inventory if 20+ capped at 20.
32EB9935-09-Y6,,Verify inventory if 20+ capped at 20.
32EB9935-09-Y8,,Verify inventory if 20+ capped at 20.
32EB9935-09-Y10,,Verify inventory if 20+ capped at 20.
32EB9935-09-Y12,,Verify inventory if 20+ capped at 20.
32EB9935-09-Y14,,Verify inventory if 20+ capped at 20.
32EB9635-09-S,20,Verify inventory if 20+ capped at 20.
32EB9635-09-M,20,Verify inventory if 20+ capped at 20.
32EB9635-09-L,10,Verify inventory if 20+ capped at 20.
32EB9635-09-XL,17,Verify inventory if 20+ capped at 20.
32EB9635-09-XXL,20,Verify inventory if 20+ capped at 20.
32EBA520-09-XS,20,Verify inventory if 20+ capped at 20.
32EBA520-09-S,20,Verify inventory if 20+ capped at 20.
32EBA520-09-M,20,Verify inventory if 20+ capped at 20.
32EBA520-09-L,20,Verify inventory if 20+ capped at 20.
32EBA520-09-XL,20,Verify inventory if 20+ capped at 20.
32EBA520-09-XXL,20,Verify inventory if 20+ capped at 20.
32EBA520-09-3XL,9,Verify inventory if 20+ capped at 20.
32EBA520-09-4XL,20,Verify inventory if 20+ capped at 20.
32EA8A05-05-S,20,Verify inventory if 20+ capped at 20.
32EA8A05-05-M,1,Verify inventory if 20+ capped at 20.
32EA8A05-05-L,20,Verify inventory if 20+ capped at 20.
32EA8A05-05-XL,16,Verify inventory if 20+ capped at 20.
32EA8A05-05-XXL,20,Verify inventory if 20+ capped at 20.
32EA8A05-05-3XL,15,Verify inventory if 20+ capped at 20.
32EA8A05-05-4XL,20,Verify inventory if 20+ capped at 20.
32EA8A05-14-S,20,Verify inventory if 20+ capped at 20.
32EA8A05-14-M,0,Verify inventory if 20+ capped at 20.
32EA8A05-14-L,18,Verify inventory if 20+ capped at 20.
32EA8A05-14-XL,20,Verify inventory if 20+ capped at 20.
32EA8A05-14-XXL,20,Verify inventory if 20+ capped at 20.
32EA8A05-14-3XL,20,Verify inventory if 20+ capped at 20.
32EA8A05-14-4XL,19,Verify inventory if 20+ capped at 20.
32EA8A06-05-S,20,Verify inventory if 20+ capped at 20.
32EA8A06-05-M,20,Verify inventory if 20+ capped at 20.
32EA8A06-05-L,20,Verify inventory if 20+ capped at 20.
32EA8A06-05-XL,20,Verify inventory if 20+ capped at 20.
32EA8A06-05-XXL,20,Verify inventory if 20+ capped at 20.
32EA8A06-05-3XL,20,Verify inventory if 20+ capped at 20.
32EA8A06-05-4XL,20,Verify inventory if 20+ capped at 20.
32EA8A06-14-S,20,Verify inventory if 20+ capped at 20.
32EA8A06-14-M,20,Verify inventory if 20+ capped at 20.
32EA8A06-14-L,20,Verify inventory if 20+ capped at 20.
32EA8A06-14-XL,20,Verify inventory if 20+ capped at 20.
32EA8A06-14-XXL,20,Verify inventory if 20+ capped at 20.
32EA8A06-14-3XL,20,Verify inventory if 20+ capped at 20.
32EA8A06-14-4XL,20,Verify inventory if 20+ capped at 20.
32EA7201-14-XS,20,Verify inventory if 20+ capped at 20.
32EA7001-14-S,20,Verify inventory if 20+ capped at 20.
32EA7001-14-M,0,Verify inventory if 20+ capped at 20.
32EA7001-14-L,7,Verify inventory if 20+ capped at 20.
32EA7001-14-XL,19,Verify inventory if 20+ capped at 20.
32EA7001-14-XXL,20,Verify inventory if 20+ capped at 20.
32EA7001-14-3XL,20,Verify inventory if 20+ capped at 20.
32EA7001-14-4XL,17,Verify inventory if 20+ capped at 20.
32EA7401-10-Y6,,Verify inventory if 20+ capped at 20.
32EA7401-10-Y8,,Verify inventory if 20+ capped at 20.
32EA7401-10-Y10,,Verify inventory if 20+ capped at 20.
32EA7401-10-Y12,,Verify inventory if 20+ capped at 20.
32EA7401-10-Y14,,Verify inventory if 20+ capped at 20.
