sku,available,note
32EB4A03-01-XL,,Verify inventory if 20+ capped at 20.
32EB4A03-01-XXL,,Verify inventory if 20+ capped at 20.
32EB4A03-01-3XL,,Verify inventory if 20+ capped at 20.
32EB1A06-01-4XL,,Verify inventory if 20+ capped at 20.
32EB8D14-09-Y6,,Verify inventory if 20+ capped at 20.
32EB8D14-09-Y8,,Verify inventory if 20+ capped at 20.
32EB8D14-09-Y10,,Verify inventory if 20+ capped at 20.
32EB8D14-09-Y12,,Verify inventory if 20+ capped at 20.
32EB8D14-09-Y14,,Verify inventory if 20+ capped at 20.
32EA8B05-09-Y6,0,Verify inventory if 20+ capped at 20.
32EA8B05-09-Y8,0,Verify inventory if 20+ capped at 20.
32EA8B05-09-Y10,0,Verify inventory if 20+ capped at 20.
32EA8B05-09-Y12,0,Verify inventory if 20+ capped at 20.
32EA8B05-09-YXS,0,Verify inventory if 20+ capped at 20.
32ECA905-14-Y14,,Verify inventory if 20+ capped at 20.
33EY0W12-09-NS,20,Verify inventory if 20+ capped at 20.
33EY0W13-09-NS,6,Verify inventory if 20+ capped at 20.
33EY0W14-09-NS,20,Verify inventory if 20+ capped at 20.
33EY7W93-09-NS,20,Verify inventory if 20+ capped at 20.
33EY8W08-09-NS,20,Verify inventory if 20+ capped at 20.
33EY8W09-09-NS,20,Verify inventory if 20+ capped at 20.
33GD8016-14-NS,13,Verify inventory if 20+ capped at 20.
33EY0W03-09-NS,20,Verify inventory if 20+ capped at 20.
32EA8C12-09-NS,0,Verify inventory if 20+ capped at 20.
32EA8C12-28-NS,0,Verify inventory if 20+ capped at 20.
P2EA9540-09-NS,20,Verify inventory if 20+ capped at 20.
32FW9A01-01-NS,0,Verify inventory if 20+ capped at 20.
32FW9A01-14-NS,20,Verify inventory if 20+ capped at 20.
32FW9A02-01-NS,20,Verify inventory if 20+ capped at 20.
32FW9A02-14-NS,20,Verify inventory if 20+ capped at 20.
32FW9A03-01-NS,20,Verify inventory if 20+ capped at 20.
32FW9A03-14-NS,12,Verify inventory if 20+ capped at 20.
32FW9A04-09-NS,20,Verify inventory if 20+ capped at 20.
32FY9W02-09-NS,20,Verify inventory if 20+ capped at 20.
R2EX9A01-09-S,20,Verify inventory if 20+ capped at 20.
R2EX9A01-09-M,3,Verify inventory if 20+ capped at 20.
R2EX9A01-09-L,0,Verify inventory if 20+ capped at 20.
R2EX9A01-09-XL,5,Verify inventory if 20+ capped at 20.
R2EX9A01-62-S,15,Verify inventory if 20+ capped at 20.
R2EX9A01-62-M,20,Verify inventory if 20+ capped at 20.
R2EX9A01-62-L,20,Verify inventory if 20+ capped at 20.
R2EX9A01-62-XL,20,Verify inventory if 20+ capped at 20.
R2EX9A01-01-S,10,Verify inventory if 20+ capped at 20.
R2EX9A01-01-M,15,Verify inventory if 20+ capped at 20.
R2EX9A01-01-L,17,Verify inventory if 20+ capped at 20.
R2EX9A01-01-XL,16,Verify inventory if 20+ capped at 20.
32EX0X01-01-S,0,Verify inventory if 20+ capped at 20.
32EX0X01-01-M,20,Verify inventory if 20+ capped at 20.
32EX0X01-01-L,20,Verify inventory if 20+ capped at 20.
32EX0X01-01-XL,20,Verify inventory if 20+ capped at 20.
32EX0X01-01-XXL,10,Verify inventory if 20+ capped at 20.
32EX0X01-15-S,0,Verify inventory if 20+ capped at 20.
32EX0X01-15-M,20,Verify inventory if 20+ capped at 20.
32EX0X01-15-L,20,Verify inventory if 20+ capped at 20.
32EX0X01-15-XL,20,Verify inventory if 20+ capped at 20.
32EX0X01-15-XXL,9,Verify inventory if 20+ capped at 20.
