title,styleCode,colorCode,colorName,sizeCount,missingPrice,missingDescription,missingImages,sourceUrlCount
Mizuno - Mizuno Terry Hoodie(m) - 07,32EC7B60,07,,5,YES,YES,NO,1
Mizuno - Mizuno Terry Hoodie(m) - Black,32EC7B60,09,Black,5,YES,YES,NO,1
Mizuno - Mizuno Terry Hoodie(m) - Navy,32EC7B60,14,Navy,5,YES,YES,NO,1
