Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Taxable,Status,Image Src,Image Position,Cost per item
mizuno-chiba-hoodie-jk-m-m-62,,,,,,,FALSE,Size,XXL,32ECA560-62-XXL,44,,TRUE,draft,,,22
mizuno-chiba-hoodie-jk-m-m-62,,,,,,,FALSE,Size,3XL,32ECA560-62-3XL,44,,TRUE,draft,,,22
mizuno-chiba-hoodie-jk-m-m-62,,,,,,,FALSE,Size,4XL,32ECA560-62-4XL,44,,TRUE,draft,,,22
mizuno-uni-osaka-wind-jkt-m-black,Mizuno - Uni Osaka Wind Jkt(m) - Black,,Mizuno,Apparel & Accessories,Teamwear,"mizuno-teamwear, style-u2ee8501, colour-09, color-black, vat-standard",FALSE,Size,XXS,U2EE8501-09-XXS,50,,TRUE,draft,https://www.mizunodirect.com/img_catalog/U2EE850109.jpg,1,25
mizuno-uni-osaka-wind-jkt-m-black,,,,,,,FALSE,Size,XS,U2EE8501-09-XS,50,,TRUE,draft,,,25
mizuno-uni-osaka-wind-jkt-m-black,,,,,,,FALSE,Size,S,U2EE8501-09-S,50,,TRUE,draft,,,25
mizuno-uni-osaka-wind-jkt-m-black,,,,,,,FALSE,Size,M,U2EE8501-09-M,50,,TRUE,draft,,,25
mizuno-uni-osaka-wind-jkt-m-black,,,,,,,FALSE,Size,L,U2EE8501-09-L,50,,TRUE,draft,,,25
mizuno-uni-osaka-wind-jkt-m-black,,,,,,,FALSE,Size,XL,U2EE8501-09-XL,50,,TRUE,draft,,,25
mizuno-uni-osaka-wind-jkt-m-black,,,,,,,FALSE,Size,XXL,U2EE8501-09-XXL,50,,TRUE,draft,,,25
mizuno-uni-osaka-wind-jkt-m-black,,,,,,,FALSE,Size,3XL,U2EE8501-09-3XL,50,,TRUE,draft,,,25
mizuno-uni-osaka-wind-jkt-m-black,,,,,,,FALSE,Size,4XL,U2EE8501-09-4XL,50,,TRUE,draft,,,25
mizuno-bench-jacket-u-black,Mizuno - Bench Jacket(u) - Black,,Mizuno,Apparel & Accessories,Teamwear,"mizuno-teamwear, style-32ee4a23, colour-09, color-black, vat-standard",FALSE,Size,4XL,32EE4A23-09-4XL,50,,TRUE,draft,https://www.mizunodirect.com/img_catalog/32EE4A2309.jpg,1,25
mizuno-bench-jacket-u-black,,,,,,,FALSE,Size,XXS,32EE4A23-09-XXS,50,,TRUE,draft,,,25
mizuno-bench-jacket-u-black,,,,,,,FALSE,Size,XS,32EE4A23-09-XS,50,,TRUE,draft,,,25
mizuno-bench-jacket-u-black,,,,,,,FALSE,Size,S,32EE4A23-09-S,50,,TRUE,draft,,,25
mizuno-bench-jacket-u-black,,,,,,,FALSE,Size,M,32EE4A23-09-M,50,,TRUE,draft,,,25
mizuno-bench-jacket-u-black,,,,,,,FALSE,Size,L,32EE4A23-09-L,50,,TRUE,draft,,,25
mizuno-bench-jacket-u-black,,,,,,,FALSE,Size,XL,32EE4A23-09-XL,50,,TRUE,draft,,,25
